Restart,Epoch,BestCost,MeanCost
1,0,-314885.10,-679725.15
1,1,-278115.54,-637244.60
1,2,-259254.97,-667378.03
1,3,-315127.72,-693182.03
1,4,-384830.56,-681764.44
1,5,-127164.71,-635784.64
1,6,-114473.99,-676064.31
1,7,-219758.41,-668648.48
1,8,-370695.31,-697690.63
1,9,-227524.38,-643979.19
1,10,-276618.58,-663432.85
1,11,-286341.93,-645976.97
1,12,-295467.28,-633677.70
1,13,-232008.56,-674984.24
1,14,-215544.98,-621812.23
1,15,-303679.90,-672923.56
1,16,-191208.54,-675068.35
1,17,-171234.44,-653545.66
1,18,-175383.89,-665931.19
1,19,-187569.07,-580751.21
1,20,-183280.30,-660515.40
1,21,-138913.78,-604373.51
1,22,-181142.09,-599491.60
1,23,-151648.23,-592235.00
1,24,-219969.30,-631218.61
1,25,-222791.97,-650530.67
1,26,-236091.82,-632983.71
1,27,-140762.22,-603197.93
1,28,-210202.42,-623430.12
1,29,-200676.93,-589502.66
1,30,-188391.29,-572979.05
1,31,-146370.75,-597410.12
1,32,-123585.41,-591689.00
1,33,-269958.49,-617403.64
1,34,-144467.30,-619499.01
1,35,-131772.70,-623114.76
1,36,-180808.58,-597465.37
1,37,-245710.59,-561170.53
1,38,-181685.04,-591452.93
1,39,-104853.77,-512956.25
1,40,-128414.13,-545198.32
1,41,-95343.98,-522440.29
1,42,-177273.51,-539813.52
1,43,-131288.26,-529097.34
1,44,-132927.04,-528827.91
1,45,-109342.42,-552307.38
1,46,-107363.65,-528675.26
1,47,-149067.12,-528195.38
1,48,-34845.68,-524703.30
1,49,-112700.21,-519697.25
1,50,-32621.69,-549420.68
1,51,-140763.37,-487796.20
1,52,-106710.67,-503215.49
1,53,-66559.56,-492267.02
1,54,-121215.27,-485308.13
1,55,-130326.19,-534672.67
1,56,-126475.51,-486225.14
1,57,-119667.68,-458799.52
1,58,-146237.38,-491449.30
1,59,-131174.69,-483687.02
1,60,-56274.51,-474326.74
1,61,-9341.68,-469015.05
1,62,-113058.73,-468647.52
1,63,-109379.79,-437279.91
1,64,-69211.31,-429873.72
1,65,-95483.26,-434431.88
1,66,-120431.96,-422940.85
1,67,-83559.34,-450679.52
1,68,-47067.74,-395836.78
1,69,-133504.29,-478856.70
1,70,-41808.14,-374355.89
1,71,-114817.17,-480054.11
1,72,-74858.43,-368810.50
1,73,-102079.93,-424969.37
1,74,-39768.33,-380741.07
1,75,-73061.20,-444952.79
1,76,-18527.80,-363624.54
1,77,-21071.29,-381006.41
1,78,-46131.35,-373432.84
1,79,-37653.62,-387172.49
1,80,-38247.73,-392534.79
1,81,-24104.63,-337982.88
1,82,-39603.64,-383251.84
1,83,-76420.66,-405366.84
1,84,-22561.74,-363101.80
1,85,-11675.75,-292040.74
1,86,-6090.80,-323655.29
1,87,-31128.64,-302643.97
1,88,-72313.68,-291011.11
1,89,-41860.15,-277616.30
1,90,-4328.82,-338211.43
1,91,-11648.64,-287814.38
1,92,-22570.68,-266347.93
1,93,-21154.40,-263863.10
1,94,-2029.90,-271689.95
1,95,-3220.06,-273148.39
1,96,-783.77,-259921.56
1,97,-7816.85,-257493.95
1,98,-28667.73,-244841.15
1,99,-21125.63,-214824.97
1,100,-13964.45,-240811.01
1,101,-22850.12,-245015.01
1,102,-6511.62,-251694.08
